Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-09-01 15:08 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2019-08-24 14:34 (EDT),432,240,61%,70,22.68,11.34,591,,,
2019-09-01 15:40 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,15,,,
2019-09-02 16:08 (EDT),On Demand,Alex Toussaint,45,Cycling,Intervals,45 min Intervals & Arms Ride,2019-09-02 11:33 (EDT),620,230,59%,72,22.35,16.75,848,,,
2019-09-02 16:56 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
2019-09-03 19:39 (EDT),On Demand,Ally Love,15,Cycling,Intervals,15 min Tabata Ride,2019-09-02 06:00 (EDT),218,243,62%,68,22.78,5.68,299,,,
2019-09-03 19:55 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-17 14:22 (EDT),,,,,,,14,,,
2019-09-04 16:55 (EDT),Live,Cody Rigsby,20,Cycling,Theme,20 min Pop Ride,2019-09-04 16:51 (EDT),290,242,61%,71,22.73,7.57,397,,,
2019-09-04 17:17 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-03 23:48 (EDT),,,,,,,14,,,
2019-09-06 18:08 (EDT),On Demand,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,2019-09-04 01:53 (EDT),220,245,63%,66,22.57,5.63,301,,,
2019-09-06 18:24 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-05 03:13 (EDT),,,,,,,14,,,
2019-09-09 17:30 (EDT),Live,Christine D'Ercole,45,Cycling,Heart Rate Zone,45 min HRZ Max Capacity Ride,2019-09-09 17:18 (EDT),623,231,60%,69,22.30,16.72,853,,,
2019-09-09 18:22 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-12 14:35 (EDT),,,,,,,14,,,
2019-09-10 17:49 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Theme,20 min New Tracks Ride,2019-09-09 09:51 (EDT),292,243,62%,67,22.84,7.61,399,,,
