Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-01-07 17:20 (EDT),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-01-06 12:18 (EDT),412,229,63%,64,22.35,11.17,562,,,
2020-01-07 17:52 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-21 15:41 (EDT),,,,,,,14,,,
2020-01-10 18:00 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-02 04:32 (EDT),,,,,,,14,,,
2020-01-12 14:51 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-09 03:54 (EDT),,,,,,,14,,,
2020-01-13 16:31 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EDT),,,,,,,14,,,
2020-01-14 18:22 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-12 14:30 (EDT),,,,,,,14,,,
2020-01-15 17:34 (EDT),On Demand,Ben Alldis,15,Cycling,Low Impact,15 min Low Impact Ride,2020-01-07 02:32 (EDT),235,261,67%,63,23.57,5.89,321,,,
2020-01-15 17:52 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-20 02:17 (EDT),,,,,,,14,,,
2020-01-20 18:25 (EDT),On Demand,Sam Yo,15,Cycling,Intervals,15 min HIIT Ride,2020-01-08 02:32 (EDT),220,244,66%,62,22.92,5.73,299,,,
2020-01-20 18:42 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-16 04:29 (EDT),,,,,,,14,,,
2020-01-22 17:52 (EDT),On Demand,Jess King,20,Cycling,Theme,20 min Trap Music Ride,2020-01-10 09:51 (EDT),301,251,66%,63,23.08,7.69,410,,,
2020-01-22 18:15 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-21 16:31 (EDT),,,,,,,14,,,
2020-01-24 17:45 (EDT),On Demand,Ben Alldis,20,Cycling,Theme,20 min 80s Ride,2020-01-24 05:22 (EDT),303,253,67%,62,23.25,7.74,413,,,
2020-01-24 18:09 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-17 03:40 (EDT),,,,,,,12,,,
2020-01-28 18:23 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-21 03:35 (EDT),,,,,,,14,,,
2020-01-29 16:48 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Intervals,20 min HIIT Ride,2020-01-27 09:51 (EDT),289,241,65%,63,22.79,7.60,394,,,
2020-01-29 17:10 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-29 11:00 (EDT),,,,,,,14,,,
2020-01-31 17:57 (EDT),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min FTP Test Ride,2020-01-30 09:00 (EDT),307,256,66%,64,23.31,7.77,419,,,
2020-01-31 18:21 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 15:02 (EDT),,,,,,,12,,,
2020-02-02 18:45 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-02 06:58 (EDT),,,,,,,14,,,
2020-02-04 17:44 (EDT),On Demand,Sam Yo,20,Cycling,Low Impact,20 min Recovery Ride,2020-02-04 05:52 (EDT),288,240,65%,63,22.68,7.56,392,,,
2020-02-04 18:10 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-10 15:33 (EDT),,,,,,,14,,,
2020-02-06 17:42 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Pop Ride,2020-02-04 20:18 (EDT),411,228,63%,64,22.27,11.13,560,,,
2020-02-06 18:16 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-05 16:29 (EDT),,,,,,,14,,,
2020-02-09 18:58 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-06 04:12 (EDT),,,,,,,14,,,
2020-02-10 18:10 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Run Stretch,5 min Post-Run Stretch,2020-02-05 09:05 (EDT),,,,,,,14,,,
2020-02-11 18:11 (EDT),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2020-02-10 12:17 (EDT),447,248,66%,63,23.02,11.51,610,,,
2020-02-11 18:46 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-08 14:14 (EDT),,,,,,,12,,,
2020-02-13 12:27 (EDT),On Demand,Hannah Frankson,20,Cycling,Theme,20 min Hip Hop Ride,2020-02-12 05:22 (EDT),300,251,64%,66,23.06,7.67,409,,,
2020-02-13 12:50 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-02 06:58 (EDT),,,,,,,14,,,
2020-02-15 12:22 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-14 03:58 (EDT),,,,,,,14,,,
2020-02-17 16:58 (EDT),On Demand,Ben Alldis,15,Cycling,Intervals,15 min Tabata Ride,2020-02-11 02:32 (EDT),236,262,68%,62,23.60,5.89,322,,,
2020-02-17 17:24 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-14 03:58 (EDT),,,,,,,14,,,
2020-02-18 17:38 (EDT),On Demand,Hannah Marie Corbin,10,Stretching,Pre & Post-Ride Stretch,10 min Smokey Robinson Post-Ride Stretch,2020-02-16 11:00 (EDT),,,,,,,29,,,
2020-02-19 13:35 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2020-02-15 16:17 (EDT),427,227,63%,62,22.14,11.26,582,,,
2020-02-19 14:08 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-14 07:00 (EDT),,,,,,,14,,,
2020-02-21 12:09 (EDT),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-02-19 11:17 (EDT),419,233,64%,63,22.45,11.22,571,,,
2020-02-21 12:42 (EDT),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-18 03:23 (EDT),,,,,,,14,,,
2020-02-22 15:08 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2020-02-22 09:49 (EDT),633,234,65%,62,22.45,16.83,863,,,
2020-02-22 15:56 (EDT),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-20 14:04 (EDT),,,,,,,14,,,
2020-02-24 12:04 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2020-02-22 16:16 (EDT),436,242,64%,65,22.92,11.46,595,,,
2020-02-24 12:41 (EDT),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-22 15:27 (EDT),,,,,,,14,,,
2020-02-29 09:32 (EDT),On Demand,Irene Scholz,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-26 12:10 (EDT),,,,,,,14,,,
2020-03-01 19:54 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-25 16:23 (EDT),,,,,,,14,,,
2020-03-07 18:39 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-27 03:52 (EDT),,,,,,,14,,,
2020-03-10 17:15 (EDT),On Demand,Leanne Hainsby,20,Cycling,Theme,20 min 80s Ride,2020-02-27 05:22 (EDT),279,233,64%,62,22.40,7.46,381,,,
2020-03-10 17:37 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-03 05:30 (EDT),,,,,,,14,,,
2020-03-12 11:30 (EDT),Live,Ally Love,30,Cycling,Theme,30 min Pop Ride,2020-03-12 11:19 (EDT),421,234,65%,62,22.44,11.22,574,,,
2020-03-12 12:03 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-03 08:45 (EDT),,,,,,,14,,,
2020-03-14 11:47 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EDT),,,,,,,14,,,
2020-03-16 12:23 (EDT),On Demand,Ben Alldis,30,Cycling,Theme,30 min 80s Ride,2020-03-14 07:50 (EDT),428,238,65%,62,22.70,11.34,583,,,
2020-03-16 12:57 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EDT),,,,,,,14,,,
2020-03-18 07:30 (EDT),On Demand,Sam Yo,20,Cycling,Theme,20 min 80s Ride,2020-03-16 05:00 (EDT),275,229,63%,63,22.29,7.43,375,,,
2020-03-18 07:53 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-27 03:52 (EDT),,,,,,,14,,,
2020-03-19 18:23 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EDT),,,,,,,14,,,
2020-03-20 12:00 (EDT),Live,Jess King,30,Cycling,Theme,30 min EDM/Electronic Dance Ride,2020-03-20 11:50 (EDT),432,240,63%,66,22.71,11.35,589,,,
2020-03-20 12:32 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-08 14:14 (EDT),,,,,,,12,,,
2020-03-22 11:35 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Pop Ride,2020-03-21 10:23 (EDT),645,239,63%,66,22.71,17.02,879,,,
2020-03-22 12:29 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-09 15:04 (EDT),,,,,,,15,,,
2020-03-23 18:10 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EDT),,,,,,,14,,,
2020-03-24 12:14 (EDT),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2020-03-21 11:48 (EDT),434,241,64%,65,22.78,11.39,591,,,
2020-03-24 12:49 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EDT),,,,,,,14,,,
2020-03-26 12:41 (EDT),On Demand,Ben Alldis,30,Cycling,Theme,30 min 80s Rock Ride,2020-03-17 05:50 (EDT),433,241,65%,63,22.74,11.37,590,,,
2020-03-26 13:14 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-11-13 16:57 (EDT),,,,,,,14,,,
2020-03-28 12:47 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2020-03-14 09:48 (EDT),651,241,65%,63,22.81,17.11,888,,,
2020-03-28 13:36 (EDT),On Demand,Oliver Lee,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2020-02-14 13:38 (EDT),,,,,,,14,,,
2020-03-30 08:15 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2020-03-28 15:00 (EDT),432,240,64%,65,22.85,11.42,589,,,
2020-03-30 08:49 (EDT),On Demand,Sam Yo,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-27 03:52 (EDT),,,,,,,14,,,
2020-04-01 08:07 (EDT),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-03-27 09:45 (EDT),437,243,64%,65,22.82,11.40,596,,,
2020-04-01 08:40 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EDT),,,,,,,14,,,
2020-04-03 08:37 (EDT),On Demand,Ben Alldis,30,Cycling,Intervals,30 min HIIT & Hills Ride,2020-04-03 05:20 (EDT),433,241,65%,64,22.86,11.43,591,,,
2020-04-03 09:10 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-14 07:08 (EDT),,,,,,,14,,,
2020-04-05 09:05 (EDT),On Demand,Alex Toussaint,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-03-11 07:48 (EDT),656,243,65%,63,22.92,17.19,895,,,
2020-04-05 09:54 (EDT),On Demand,Irene Scholz,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-21 08:58 (EDT),,,,,,,29,,,
2020-04-07 08:03 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min New Tracks Ride,2020-03-10 20:20 (EDT),426,237,64%,61,22.31,11.15,581,,,
2020-04-07 08:35 (EDT),On Demand,Irene Scholz,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-21 08:58 (EDT),,,,,,,29,,,
2020-04-09 08:18 (EDT),On Demand,Kendall Toole,30,Cycling,Theme,30 min Metal Ride,2020-04-07 14:00 (EDT),440,244,65%,64,22.96,11.48,600,,,
2020-04-09 08:50 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-25 16:23 (EDT),,,,,,,14,,,
2020-04-11 07:26 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Hip Hop Ride,2020-03-09 18:18 (EDT),639,237,65%,63,22.73,17.04,871,,,
2020-04-11 08:18 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-03-15 07:30 (EDT),,,,,,,14,,,
2020-04-13 07:29 (EDT),On Demand,Tunde Oyeneyin,30,Cycling,Theme,30 min Hip Hop Ride,2020-03-24 09:49 (EDT),437,243,65%,64,22.92,11.45,595,,,
2020-04-13 08:02 (EDT),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-19 15:30 (EDT),,,,,,,14,,,
